Title,imdbID
Toy Story,tt0114709
Jumanji,tt0113497
Grumpier Old Men,tt0113228
Waiting to Exhale,tt0114885
Father of the Bride Part II,tt0113041
Heat,tt0113277
Sabrina,tt0114319
Tom and Huck,tt0112302
Sudden Death,tt0114576
GoldenEye,tt0113189
The American President,tt0112346
Dracula: Dead and Loving It,tt0112896
Balto,tt0112453
Nixon,tt0113987
Cutthroat Island,tt0112760
Casino,tt0112641
Sense and Sensibility,tt0114388
Four Rooms,tt0113101
Ace Ventura: When Nature Calls,tt0112281
Money Train,tt0113845
Get Shorty,tt0113161
Copycat,tt0112722
Assassins,tt0112401
Powder,tt0114168
Leaving Las Vegas,tt0113627
Othello,tt0114057
Now and Then,tt0114011
Persuasion,tt0114117
The City of Lost Children,tt0112682
Shanghai Triad,tt0115012
Dangerous Minds,tt0112792
12 Monkeys,tt0114746
Wings of Courage,tt0114952
Babe,tt0112431
Carrington,tt0112637
Dead Man Walking,tt0112818
Across the Sea of Time,tt0112286
It Takes Two,tt0113442
Clueless,tt0112697
"Cry, the Beloved Country",tt0112749
Richard III,tt0114279
Dead Presidents,tt0112819
Restoration,tt0114272
Mortal Kombat,tt0113855
To Die For,tt0114681
How to Make an American Quilt,tt0113347
Se7en,tt0114369
Pocahontas,tt0114148
When Night Is Falling,tt0114916
The Usual Suspects,tt0114814
Guardian Angel,tt0109950
Mighty Aphrodite,tt0113819
Lamerica,tt0110299
The Big Green,tt0112499
Georgia,tt0113158
Kids of the Round Table,tt0113541
Home for the Holidays,tt0113321
Il Postino,tt0110877
The Confessional,tt0112714
The Indian in the Cupboard,tt0113419
Eye for an Eye,tt0116260
Mr. Holland's Opus,tt0113862
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,tt0116126
Two If by Sea,tt0118002
Bio-Dome,tt0115683
Lawnmower Man 2: Beyond Cyberspace,tt0116839
Two Bits,tt0114753
French Twist,tt0113149
Friday,tt0113118
From Dusk Till Dawn,tt0116367
Fair Game,tt0113010
Kicking and Screaming,tt0113537
Les Misérables,tt0113828
Bed of Roses,tt0115644
Big Bully,tt0115676
Screamers,tt0114367
Nico Icon,tt0113973
The Crossing Guard,tt0112744
The Juror,tt0116731
The White Balloon,tt0112445
Things to Do in Denver When You're Dead,tt0114660
Antonia's Line,tt0112379
Once Upon a Time... When We Were Colored,tt0114039
Last Summer in the Hamptons,tt0113612
Angels and Insects,tt0112365
White Squall,tt0118158
Dunston Checks In,tt0116151
Black Sheep,tt0115697
Nick of Time,tt0113972
The Journey of August King,tt0113490
Mary Reilly,tt0117002
Vampire in Brooklyn,tt0114825
Beautiful Girls,tt0115639
Broken Arrow,tt0115759
A Midwinter's Tale,tt0113403
La Haine,tt0113247
Shopping,tt0111173
Heidi Fleiss: Hollywood Madam,tt0113283
City Hall,tt0115907
Bottle Rocket,tt0115734
Mr. Wrong,tt0117102
Unforgettable,tt0118040
Happy Gilmore,tt0116483
The Bridges of Madison County,tt0112579
Nobody Loves Me,tt0110251
Muppet Treasure Island,tt0117110
Catwalk,tt0112646
Headless Body in Topless Bar,tt0113276
Braveheart,tt0112573
Taxi Driver,tt0075314
Rumble in the Bronx,tt0113326
Before and After,tt0115645
Margaret's Museum,tt0113774
Happiness Is in the Field,tt0112556
Anne Frank Remembered,tt0112373
The Young Poisoner's Handbook,tt0115033
If Lucy Fell,tt0116606
Steal Big Steal Little,tt0114536
Race the Sun,tt0117427
The Boys of St. Vincent,tt0106473
Boomerang,tt0103859
Chungking Express,tt0109424
The Star Maker,tt0114808
Flirting with Disaster,tt0116324
The NeverEnding Story III,tt0110647
The Silences of the Palace,tt0111055
Jupiter's Wife,tt0110217
Pie in the Sky,tt0114131
Angela,tt0112364
Frankie Starlight,tt0113107
Jade,tt0113451
Nueba Yol,tt0114015
Sonic Outlaws,tt0114500
Down Periscope,tt0116130
From the Journals of Jean Seberg,tt0113125
Man of the Year,tt0113756
The Neon Bible,tt0113952
Target,tt0114618
Up Close & Personal,tt0118055
The Birdcage,tt0115685
Cienie,tt0094878
Gospa,tt0113200
The Brothers McMullen,tt0112585
Bad Boys,tt0112442
The Amazing Panda Adventure,tt0112342
The Basketball Diaries,tt0112461
An Awfully Big Adventure,tt0112427
Amateur,tt0109093
Apollo 13,tt0112384
Rob Roy,tt0114287
The Addiction,tt0112288
Batman Forever,tt0112462
Belle de Jour,tt0061395
Beyond Rangoon,tt0112495
Blue in the Face,tt0112541
